District,Total_Population,Total_Pop_Citizenship,US_Born_Citizen,US_Territory_Born_Citizen,US_Born_Abroad_Citizen,Naturalized_Citizen,Non_Citizen,Total_Pop_Birth,Native_Born,Foreign_Born,Total_Foreign_Born,Entered_2010_Later,Entered_2000_2009,Entered_Before_2000,Pop_5Years_Over,English_Only,Spanish_Speaker,Indo_European_Lang,Asian_Pacific_Lang,Other_Languages,White_Alone,Black_Alone,Native_American_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,Hispanic_Latino,Total_Male,Male_Under_5,Male_5_9,Male_10_14,Male_15_17,Male_18_19,Male_20,Male_21,Male_22_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_61,Male_62_64,Male_65_66,Male_67_69,Male_70_74,Male_75_79,Male_80_84,Male_85_Over,Total_Female,Female_Under_5,Female_5_9,Female_10_14,Female_15_17,Female_18_19,Female_20,Female_21,Female_22_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_61,Female_62_64,Female_65_66,Female_67_69,Female_70_74,Female_75_79,Female_80_84,Female_85_Over,Median_Household_Income,Total_Households_Income,Income_Less_10000,Income_10000_14999,Income_15000_19999,Income_20000_24999,Income_25000_29999,Income_30000_34999,Income_35000_39999,Income_40000_44999,Income_45000_49999,Income_50000_59999,Income_60000_74999,Income_75000_99999,Income_100000_124999,Income_125000_149999,Income_150000_199999,Income_200000_Plus,Total_Pop_Poverty,Below_Poverty_Level,Pop_25_Over,No_Schooling,Nursery_School,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12_No_Diploma,High_School_Diploma,GED,Some_College_Less_1yr,Some_College_1yr_Plus,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctorate_Degree,Total_Households,Family_Households,Married_Couple_Family,Other_Family,Nonfamily_Households,Living_Alone,Not_Living_Alone,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Total_Housing_Units,Owner_Occupied,Renter_Occupied,Workers_16_Over,Commute_Car,Commute_Public_Transit,Commute_Bicycle,Commute_Walk,Work_From_Home,Total_Households_Internet,Has_Internet,No_Internet,Year,Dist_clean,D,R,Winner,Total
1,691474.0,691474.0,635267.0,1367.0,2930.0,26729.0,25181.0,691474.0,639564.0,51910.0,56207.0,8531.0,13053.0,6181.0,,,,,,,292771.0,345746.0,806.0,12254.0,127.0,26617.0,13153.0,72236.0,322348.0,18517.0,20355.0,23460.0,13480.0,9800.0,4408.0,5067.0,12750.0,24108.0,21218.0,17591.0,20537.0,19506.0,24719.0,24509.0,8540.0,12675.0,5602.0,7772.0,11356.0,7848.0,5037.0,3493.0,369126.0,18944.0,17686.0,24342.0,13480.0,10624.0,5358.0,5996.0,14724.0,25018.0,22623.0,20330.0,21470.0,24603.0,27484.0,27065.0,10437.0,12299.0,8305.0,10855.0,17045.0,11410.0,8856.0,10172.0,50523.0,265181.0,30999.0,14691.0,15579.0,13542.0,12135.0,13833.0,12350.0,9696.0,8648.0,15637.0,26033.0,30224.0,23663.0,13773.0,13293.0,11085.0,680474.0,118476.0,472483.0,5159.0,0.0,0.0,42.0,524.0,699.0,875.0,1044.0,2816.0,1588.0,7482.0,4471.0,8021.0,10533.0,9694.0,110925.0,14504.0,27566.0,90365.0,39527.0,81301.0,39376.0,8937.0,7034.0,265181.0,159249.0,95153.0,64096.0,12147.0,51949.0,105932.0,346903.0,346903.0,312478.0,34425.0,265181.0,158549.0,106632.0,305183.0,228910.0,51961.0,1545.0,7453.0,12014.0,265181.0,206705.0,50885.0,2016,1,245908.0,69956.0,D,326175.0
10,710610.0,710610.0,527761.0,2292.0,6246.0,84537.0,89774.0,710610.0,536299.0,174311.0,182849.0,28650.0,45850.0,24048.0,664549.0,427168.0,124452.0,2247.0,462.0,1241.0,505898.0,48352.0,1274.0,80123.0,310.0,56158.0,18495.0,159809.0,351902.0,23080.0,22837.0,25739.0,15352.0,11016.0,5642.0,4718.0,15958.0,22652.0,23569.0,22456.0,24283.0,23950.0,23771.0,21587.0,9601.0,11497.0,7130.0,9326.0,11253.0,7561.0,3956.0,4968.0,358708.0,22981.0,22331.0,24353.0,17187.0,8769.0,4196.0,4199.0,14280.0,17186.0,22346.0,20569.0,25944.0,25154.0,24731.0,26012.0,10750.0,11533.0,6987.0,11402.0,11474.0,8299.0,7686.0,10339.0,74971.0,251252.0,11746.0,7660.0,8431.0,10527.0,7790.0,10431.0,9486.0,10022.0,8103.0,17742.0,23731.0,31065.0,24065.0,15533.0,21964.0,32956.0,691674.0,62028.0,467972.0,6307.0,143.0,243.0,90.0,503.0,1210.0,1479.0,2046.0,7630.0,1677.0,5833.0,5175.0,5159.0,5615.0,6647.0,89920.0,10274.0,25722.0,57023.0,29108.0,117347.0,63883.0,17155.0,7783.0,251252.0,177378.0,140375.0,37003.0,9966.0,27037.0,73874.0,383566.0,373464.0,353897.0,19567.0,251252.0,174621.0,76631.0,358154.0,304752.0,16244.0,1307.0,10063.0,22998.0,251252.0,219223.0,26699.0,2016,10,178857.0,94108.0,D,288303.0
11,730480.0,730480.0,587857.0,3856.0,4398.0,60977.0,73392.0,730480.0,596111.0,134369.0,142623.0,19655.0,39681.0,20521.0,682230.0,465218.0,145573.0,1230.0,99.0,1184.0,478688.0,77608.0,2646.0,62504.0,171.0,84802.0,24061.0,196939.0,357773.0,24793.0,23942.0,28158.0,17669.0,9288.0,4633.0,5329.0,16559.0,22536.0,23024.0,25861.0,26596.0,25964.0,25905.0,19781.0,9262.0,10094.0,5715.0,7849.0,10092.0,6484.0,4511.0,3728.0,372707.0,23457.0,26872.0,27010.0,15149.0,10649.0,5901.0,3789.0,15659.0,22986.0,24528.0,26589.0,28102.0,27575.0,23682.0,22604.0,6938.0,13349.0,6114.0,8976.0,12410.0,8216.0,5845.0,6307.0,72198.0,251942.0,10514.0,7526.0,9158.0,9328.0,8749.0,9993.0,10132.0,10675.0,11037.0,16850.0,26014.0,35969.0,29624.0,16674.0,22146.0,17553.0,723223.0,66557.0,471623.0,7714.0,137.0,31.0,286.0,750.0,2815.0,1465.0,2219.0,10521.0,1545.0,6617.0,4660.0,5123.0,6070.0,8896.0,91910.0,15253.0,30571.0,67860.0,37336.0,106110.0,50142.0,8379.0,5213.0,251942.0,178255.0,132156.0,46099.0,11828.0,34271.0,73687.0,391241.0,391026.0,371550.0,19476.0,251942.0,179600.0,72342.0,362481.0,320557.0,15108.0,639.0,3914.0,18765.0,251942.0,223113.0,24388.0,2016,11,164632.0,99104.0,D,279620.0
12,693736.0,693736.0,669296.0,686.0,4446.0,9452.0,9856.0,693736.0,674428.0,19308.0,24440.0,5746.0,5430.0,1542.0,,,,,,,541201.0,117759.0,1092.0,10412.0,200.0,6030.0,17042.0,23528.0,343254.0,22740.0,22737.0,21001.0,14020.0,8692.0,4699.0,4014.0,14406.0,23352.0,23054.0,22419.0,20789.0,23303.0,22429.0,23787.0,9076.0,13625.0,7274.0,10306.0,12765.0,7812.0,5426.0,5528.0,350482.0,19810.0,19635.0,21842.0,14217.0,7511.0,4466.0,4490.0,12321.0,22721.0,23224.0,20286.0,20153.0,21683.0,24915.0,24512.0,10531.0,13779.0,8265.0,10878.0,15796.0,9793.0,8786.0,10868.0,47430.0,277601.0,24141.0,16420.0,16876.0,17368.0,13572.0,15858.0,15519.0,12902.0,12428.0,20066.0,26708.0,31003.0,23537.0,13714.0,10330.0,7159.0,669553.0,109942.0,477135.0,2497.0,10.0,25.0,82.0,65.0,286.0,397.0,325.0,1078.0,1126.0,6437.0,6475.0,9571.0,12489.0,6154.0,118334.0,28481.0,39323.0,80219.0,49475.0,68519.0,34829.0,6435.0,4503.0,277601.0,174842.0,120716.0,54126.0,14263.0,39863.0,102759.0,329972.0,325670.0,303395.0,22275.0,277601.0,184914.0,92687.0,302014.0,273429.0,6240.0,1121.0,6654.0,11032.0,277601.0,210533.0,56262.0,2016,12,126817.0,173693.0,R,315846.0
13,704699.0,704699.0,665226.0,267.0,3780.0,11900.0,23526.0,704699.0,669273.0,35426.0,39473.0,16503.0,8597.0,2110.0,,,,,,,573421.0,77940.0,1376.0,27069.0,370.0,3212.0,21311.0,23987.0,348787.0,19375.0,20403.0,19243.0,11872.0,15501.0,8672.0,7513.0,21847.0,25577.0,22153.0,20840.0,19798.0,20766.0,22834.0,22471.0,10208.0,12610.0,6782.0,9136.0,11812.0,8933.0,5514.0,4927.0,355912.0,18184.0,18849.0,18070.0,11669.0,16356.0,9169.0,7821.0,17867.0,24955.0,21649.0,19525.0,18921.0,20452.0,21777.0,23761.0,9455.0,14661.0,8426.0,10150.0,13927.0,9841.0,8294.0,12133.0,49758.0,283971.0,26692.0,14822.0,14456.0,16561.0,15033.0,15082.0,13796.0,15000.0,11011.0,22910.0,26888.0,34051.0,22196.0,13235.0,11764.0,10474.0,665081.0,112585.0,462288.0,2793.0,0.0,30.0,15.0,28.0,48.0,194.0,150.0,232.0,604.0,5590.0,4201.0,7646.0,8156.0,5525.0,118064.0,20511.0,38454.0,68197.0,42057.0,81266.0,38825.0,9208.0,10494.0,283971.0,165804.0,120954.0,44850.0,13049.0,31801.0,118167.0,358101.0,357617.0,337195.0,20422.0,283971.0,183057.0,100914.0,332721.0,285761.0,11009.0,3859.0,14098.0,13843.0,283971.0,229017.0,42263.0,2016,13,141541.0,159013.0,R,319979.0
14,736397.0,736397.0,655719.0,983.0,5594.0,44586.0,29515.0,736397.0,662296.0,74101.0,80678.0,8376.0,22635.0,7938.0,,,,,,,636375.0,25846.0,1422.0,33119.0,414.0,23337.0,15884.0,93109.0,368410.0,22194.0,27298.0,33974.0,19451.0,10788.0,5595.0,4349.0,13021.0,17402.0,21472.0,21306.0,25346.0,29339.0,27602.0,27304.0,7550.0,13580.0,7300.0,7846.0,12246.0,5429.0,4004.0,4014.0,367987.0,19443.0,25733.0,28103.0,16889.0,7896.0,4749.0,5264.0,11607.0,16868.0,20976.0,23687.0,28225.0,28622.0,29448.0,24656.0,10388.0,13470.0,7781.0,9547.0,12894.0,10404.0,4588.0,6749.0,90345.0,250357.0,10876.0,5390.0,6356.0,6542.0,7059.0,6536.0,7156.0,8835.0,6598.0,15873.0,21552.0,38209.0,28731.0,21162.0,30182.0,29300.0,731392.0,48781.0,480043.0,2464.0,0.0,18.0,170.0,207.0,249.0,365.0,1856.0,3678.0,798.0,3737.0,3414.0,4882.0,3930.0,6295.0,91184.0,12526.0,35017.0,66168.0,40985.0,129455.0,57625.0,7842.0,7178.0,250357.0,191132.0,157445.0,33687.0,9882.0,23805.0,59225.0,396443.0,396174.0,376906.0,19268.0,250357.0,199652.0,50705.0,371275.0,329277.0,10050.0,553.0,3214.0,26413.0,250357.0,230072.0,18141.0,2016,14,153989.0,167348.0,R,343417.0
15,700549.0,700549.0,685751.0,418.0,2690.0,5233.0,6457.0,700549.0,688859.0,11690.0,14798.0,2409.0,2920.0,1398.0,,,,,,,648770.0,31367.0,1693.0,4540.0,251.0,3811.0,10117.0,18784.0,347422.0,20765.0,23841.0,21567.0,13724.0,8989.0,2992.0,4275.0,13202.0,23693.0,21774.0,22457.0,20498.0,21792.0,23680.0,23491.0,10050.0,14437.0,8274.0,11418.0,13469.0,9585.0,7783.0,5666.0,353127.0,20590.0,22535.0,22418.0,13346.0,8557.0,4598.0,3904.0,11608.0,21271.0,19178.0,21330.0,21034.0,20289.0,24136.0,25341.0,9130.0,14287.0,7712.0,12436.0,15304.0,12603.0,8579.0,12941.0,49927.0,275299.0,21027.0,14887.0,16238.0,16847.0,12904.0,15879.0,14154.0,13690.0,12182.0,21126.0,29394.0,38013.0,21462.0,11488.0,9535.0,6473.0,673463.0,95351.0,483638.0,3215.0,10.0,274.0,77.0,22.0,177.0,355.0,238.0,1417.0,1115.0,10893.0,5224.0,11206.0,10850.0,5252.0,136935.0,27934.0,40413.0,74706.0,55646.0,63579.0,28169.0,3557.0,2374.0,275299.0,179339.0,139120.0,40219.0,11260.0,28959.0,95960.0,331918.0,331648.0,313288.0,18360.0,275299.0,206981.0,68318.0,307415.0,280690.0,1562.0,1015.0,6959.0,14664.0,275299.0,210333.0,57439.0,2016,15,78574.0,226605.0,R,320442.0
16,687998.0,687998.0,649593.0,1221.0,3367.0,17486.0,16331.0,687998.0,654181.0,33817.0,38405.0,4302.0,8425.0,5171.0,,,,,,,623579.0,23523.0,848.0,9120.0,256.0,15228.0,15444.0,64186.0,343262.0,18427.0,23157.0,22175.0,14809.0,8862.0,5439.0,4568.0,14770.0,19986.0,19411.0,21345.0,21185.0,22078.0,24210.0,24928.0,9159.0,14198.0,7702.0,11182.0,14267.0,9669.0,6600.0,5135.0,344736.0,16636.0,19734.0,21554.0,14440.0,8834.0,4944.0,3705.0,13511.0,18632.0,19527.0,19467.0,22088.0,22586.0,24571.0,23519.0,9898.0,14105.0,8155.0,11266.0,16177.0,10587.0,9607.0,11193.0,57182.0,270748.0,13911.0,13139.0,11546.0,13119.0,14070.0,14826.0,11890.0,13835.0,11181.0,23393.0,30929.0,37146.0,25002.0,15024.0,12658.0,9079.0,667192.0,82616.0,472433.0,2512.0,0.0,161.0,191.0,362.0,591.0,95.0,583.0,1616.0,956.0,4692.0,5463.0,8543.0,12109.0,8850.0,135104.0,23102.0,42408.0,72714.0,47613.0,65897.0,29442.0,5884.0,3545.0,270748.0,185869.0,141091.0,44778.0,13417.0,31361.0,84879.0,352314.0,352022.0,329425.0,22597.0,270748.0,193477.0,77271.0,324205.0,297177.0,1370.0,1588.0,6284.0,14753.0,270748.0,227792.0,37003.0,2016,16,119542.0,173093.0,R,311988.0
17,691212.0,691212.0,655064.0,964.0,3854.0,11303.0,20027.0,691212.0,659882.0,31330.0,36148.0,6761.0,9864.0,4243.0,,,,,,,565738.0,80747.0,1761.0,10007.0,436.0,10919.0,21604.0,64640.0,340563.0,22283.0,22295.0,22418.0,12439.0,9832.0,4983.0,5231.0,12411.0,21530.0,21519.0,20470.0,20342.0,20600.0,23198.0,23928.0,11138.0,11723.0,8580.0,11462.0,12120.0,10691.0,6097.0,5273.0,350649.0,20134.0,19737.0,21415.0,13692.0,9388.0,5026.0,4730.0,13817.0,21495.0,20093.0,19280.0,19478.0,21368.0,22419.0,25656.0,10641.0,13496.0,8043.0,12932.0,15314.0,11329.0,9129.0,12037.0,45360.0,283430.0,25032.0,18304.0,18913.0,18766.0,14690.0,15208.0,15559.0,14091.0,12799.0,24518.0,29836.0,32148.0,19604.0,10831.0,7711.0,5420.0,667990.0,121273.0,471381.0,4496.0,242.0,133.0,66.0,689.0,655.0,1069.0,765.0,2205.0,1478.0,5041.0,7370.0,12705.0,15038.0,7861.0,131747.0,27426.0,45052.0,75843.0,43457.0,59898.0,21263.0,4300.0,2582.0,283430.0,173811.0,121893.0,51918.0,13398.0,38520.0,109619.0,338177.0,337813.0,311588.0,26225.0,283430.0,184814.0,98616.0,305737.0,278104.0,5074.0,956.0,8356.0,9432.0,283430.0,218692.0,56487.0,2016,17,133999.0,136017.0,R,287103.0
18,713402.0,713402.0,681209.0,571.0,2916.0,11469.0,17237.0,713402.0,684696.0,28706.0,32193.0,8700.0,8854.0,1525.0,,,,,,,647359.0,29237.0,1599.0,18309.0,60.0,4098.0,12740.0,20093.0,351634.0,19353.0,23843.0,22714.0,14726.0,10391.0,4136.0,4115.0,13350.0,22086.0,20843.0,22370.0,22349.0,22542.0,24336.0,24862.0,9529.0,13415.0,8806.0,11194.0,13859.0,9474.0,7431.0,5910.0,361768.0,20578.0,21242.0,21748.0,14880.0,9771.0,4559.0,3601.0,13210.0,19546.0,20390.0,23500.0,21666.0,22452.0,24967.0,25116.0,10029.0,13997.0,8461.0,12276.0,16278.0,12330.0,8266.0,12905.0,60857.0,283990.0,13537.0,10680.0,11859.0,12893.0,13774.0,12514.0,12155.0,14212.0,12672.0,25479.0,29185.0,39960.0,27953.0,15519.0,17615.0,13983.0,690732.0,66013.0,491185.0,3269.0,70.0,138.0,25.0,41.0,500.0,256.0,472.0,492.0,261.0,4863.0,3601.0,6381.0,8403.0,4698.0,129918.0,19591.0,39745.0,68305.0,44561.0,100258.0,39135.0,9219.0,6983.0,283990.0,190910.0,152385.0,38525.0,10564.0,27961.0,93080.0,360230.0,359988.0,341881.0,18107.0,283990.0,215324.0,68666.0,336438.0,310230.0,1467.0,1117.0,6544.0,15250.0,283990.0,232151.0,44320.0,2016,18,104927.0,210529.0,R,347134.0
