District,Democratic,Winner,Republican,Total,Year
1,234037,D,81817,315862,2016
2,235051,D,59471,294522,2016
3,225320,D,0,225411,2016
4,171297,D,0,171297,2016
5,212842,D,86222,313724,2016
6,143591,R,208555,352146,2016
7,250584,D,46882,297466,2016
8,144954,D,103617,248571,2016
9,217306,D,109550,326948,2016
10,150435,D,135535,285996,2016
11,166578,D,108995,275573,2016
12,124246,R,169976,313002,2016
13,126811,R,187583,314394,2016
14,137589,R,200508,338097,2016
15,0,R,274554,274554,2016
16,0,R,259722,259853,2016
17,173125,D,113943,287068,2016
18,96770,R,250506,347283,2016
1,189560,D,50960,257885,2018
2,190684,D,44567,235251,2018
3,163053,D,57885,223334,2018
4,143895,D,22294,166189,2018
5,213992,D,65134,279131,2018
6,169001,D,146445,315446,2018
7,215746,D,30497,246243,2018
8,130054,D,67073,197127,2018
9,213368,D,76983,290351,2018
10,156540,D,82124,238664,2018
11,145407,D,82358,227765,2018
12,118724,R,134884,261543,2018
13,134458,R,136516,270981,2018
14,156035,D,141164,297199,2018
15,74309,R,181294,255608,2018
16,104569,R,151254,255825,2018
17,142659,D,87090,229749,2018
18,95486,R,195927,291413,2018
1,239943,D,85027,325123,2020
2,234896,D,63142,298038,2020
3,172997,D,133851,306848,2020
4,187219,D,35518,222737,2020
5,255661,D,96200,361271,2020
6,213777,D,183891,404747,2020
7,249383,D,41390,310128,2020
8,186251,D,0,254578,2020
9,262045,D,107125,369170,2020
10,202402,D,114442,316874,2020
11,194557,D,112807,307377,2020
12,127577,R,194839,322416,2020
13,151648,R,181373,333021,2020
14,203209,D,197835,401052,2020
15,88559,R,244947,333506,2020
16,119313,R,218839,338159,2020
17,156011,D,143863,299895,2020
18,110039,R,261840,371879,2020
1,159142,D,78258,237400,2022
2,140414,D,68761,209175,2022
3,121764,D,55995,177759,2022
4,91036,D,37352,128388,2022
5,190999,D,79112,270111,2022
6,150496,D,126351,276847,2022
7,167650,D,0,167650,2022
8,117880,D,89335,207215,2022
9,179615,D,70915,250530,2022
10,152566,D,89599,242165,2022
11,149172,D,115069,264241,2022
12,72791,R,218379,291170,2022
13,141788,D,108646,250434,2022
14,128141,D,108451,236592,2022
15,86396,R,213007,299403,2022
16,100325,R,197621,297946,2022
17,121186,D,111931,233117,2022
