Total Population,Male Population,Female Population,Total Race,Hispanic or Latino Population,Citizenship Status Total,Place of Birth by Citizenship Status,Below Poverty Level,Median Household Income,Education Attainment Total,Total Kids per Household,year,Year
722176,357025,365151,722176,227351,722176,150590,82031,63055,478864,158285,2016,2016
732035,360116,371919,732035,146301,732035,160213,71876,74066,528526,126223,2016,2016
716964,358596,358368,716964,201005,716964,205478,72172,66407,482524,156883,2016,2016
713713,354313,359400,713713,160688,713713,172461,66004,74233,467313,164315,2016,2016
709735,348714,361021,709735,23624,709735,35265,123603,49031,455523,130116,2016,2016
703108,350637,352471,703108,19305,703108,12147,98335,49127,482563,142008,2016,2016
713836,352856,360980,713836,18670,713836,26555,68771,60947,489308,145954,2016,2016
710088,331676,378412,710088,69408,710088,51961,134896,49456,471987,135485,2016,2016
704139,329691,374448,704139,92884,704139,48752,145719,45727,462128,142268,2016,2016
702322,355056,347266,702322,494510,702322,240950,144716,46557,441532,158278,2016,2016
724601,355309,369292,724601,71190,724601,105918,39038,93839,494477,164709,2016,2016
728896,348403,380493,728896,106512,728896,95981,175124,51546,490197,123703,2016,2016
718764,350686,368078,718764,79967,718764,191470,86397,65764,511364,137853,2016,2016
722749,353958,368791,722749,192838,722749,137841,75213,69355,460915,173123,2016,2016
703346,348080,355266,703346,22719,703346,16993,121502,45874,478920,138382,2016,2016
725478,361776,363702,725478,84670,725478,67868,45893,86449,473804,179360,2016,2016
700934,348211,352723,700934,62322,700934,36215,83978,56042,474678,142854,2016,2016
698800,345357,353443,698800,62510,698800,34910,118463,45144,473661,141914,2016,2016
708118,331044,377074,708118,72104,708118,51553,125538,52946,475842,132689,2018,2018
724652,347140,377512,724652,113259,724652,100642,156877,56880,499780,117495,2018,2018
735045,365921,369124,735045,91616,735045,69803,42256,93276,484174,176804,2018,2018
740075,365783,374292,740075,145336,740075,158697,64321,82907,535676,128107,2018,2018
704851,346803,358048,704851,24540,704851,37082,121370,51647,456162,126467,2018,2018
688356,340179,348177,688356,62493,688356,34349,114577,48304,469650,136854,2018,2018
727847,357594,370253,727847,74019,727847,109717,38801,100088,499692,160689,2018,2018
712819,354264,358555,712819,162102,712819,175264,62247,81290,471606,158896,2018,2018
699621,352656,346965,699621,486884,699621,232249,124971,52265,451392,151687,2018,2018
723507,353262,370245,723507,82411,723507,189954,82254,72003,516203,139739,2018,2018
697270,344620,352650,697270,24128,697270,17184,118317,49322,479135,135560,2018,2018
715095,355534,359561,715095,204878,715095,205735,64622,70952,485189,152932,2018,2018
707835,348261,359574,707835,19725,707835,27189,66016,64372,487930,145279,2018,2018
703782,328614,375168,703782,97350,703782,50011,134443,49393,464121,139787,2018,2018
695502,346043,349459,695502,66595,695502,37025,80449,60203,474316,137941,2018,2018
717897,355951,361946,717897,230339,717897,149143,75473,66819,481999,155070,2018,2018
722593,354833,367760,722593,197197,722593,140034,68883,75202,467513,166692,2018,2018
696632,347413,349219,696632,19866,696632,12086,94188,52661,481963,141081,2018,2018
705263,330293,374970,705263,78741,705263,53629,115618,57466,478667,130666,2020,2020
692805,323884,368921,692805,99096,692805,47972,124416,53158,459056,135234,2020,2020
