District,Total_Population,Total_Pop_Citizenship,US_Born_Citizen,US_Territory_Born_Citizen,US_Born_Abroad_Citizen,Naturalized_Citizen,Non_Citizen,Total_Votes, Over_18
3,720930,720930,560901,2917,5797,79672,71643,284970, 538132
5,723373,723373,549170,6107,8644,90101,69351,284970, 544841
8,717789,717789,506357,3580,5585,94746,107521,255064, 539874
10,710610,710610,527761,2292,6246,84537,89774,288303, 537891
13,704699,704699,665226,267,3780,11900,23526,319979, 540127
15,700549,700549,685751,418,2690,5233,6457,320442, 537654
18,713402,713402,681209,571,2916,11469,17237,347134, 539762
1,691474,691474,635267,1367,2930,26729,25181,326175, 543762
2,713917,713917,656293,1506,2766,27168,26184,303622, 541219
4,695098,695098,438547,18146,5608,90759,142038,310159, 529864
6,722323,722323,609513,1256,5301,67738,38515,353766, 546729
7,723481,723481,614174,4412,5140,40807,58948,310159, 542312
9,724071,724071,531212,2437,7107,108958,74357,339587, 548216
11,730480,730480,587857,3856,4398,60977,73392,279620, 543672
12,693736,693736,669296,686,4446,9452,9856,315846, 536981
14,736397,736397,655719,983,5594,44586,29515,343417, 545892
16,687998,687998,649593,1221,3367,17486,16331,311988, 541238
17,691212,691212,655064,964,3854,11303,20027,287103, 535891

